article_id,x,y,z
68866,0.14332421,-7.0296397,-1.030994
87205,8.457499,-2.2427213,-2.0646493
87224,11.291994,-6.317551,0.3707097
96755,0.34559718,-0.40389282,-2.3715878
157541,-0.9357873,-10.163964,-0.3021423
160158,4.1545987,-6.4604483,0.5202023
233470,-5.0037236,-3.2486694,-7.232282
313996,-3.4434597,0.8603,6.7122784
36162,1.4510754,-6.2823315,2.285095
59758,0.068825945,-4.358919,-0.74397105
96663,6.9826345,2.1284559,-1.5980233
156723,3.2029488,-4.0843496,-2.0902374
160474,-0.026801277,-4.8222,-0.67683625
183176,-6.013467,0.31292832,-3.906667
205973,-1.1169376,-5.809408,-2.028077
234481,-2.951038,-2.2205718,-6.2568464
235840,3.6355696,-3.693407,-5.009033
283392,-1.3861108,-2.2595108,4.2623596
285719,0.93356335,-6.0402093,-1.1018866
327984,-3.9370139,-1.4123404,-0.92440754
30760,-1.0410094,5.7558026,-4.302917
30970,-2.6761096,4.390492,-4.0950913
119592,-2.970361,2.0753136,-5.7974615
209122,-0.029838715,-5.8858852,-4.7912073
120967,-5.94482,5.9186497,-3.756086
161178,-2.5315125,-5.3872423,1.2593938
233688,-3.204387,-3.4600332,-2.35367
233769,-3.8894129,-4.6745653,-7.0497956
234318,-0.9988798,-1.58173,-6.80305
234686,-0.57926327,-4.4793725,-3.9417086
235132,0.56646645,-2.4690242,-6.0830307
235665,2.0985963,-5.119103,-5.9886746
235689,-1.7528272,-1.9076014,-6.661456
235745,-2.1461558,-4.7013893,-4.0632005
236065,-0.45574045,-2.0269325,-5.7711368
236294,-1.9098204,-1.7786709,-6.21134
236444,-1.6761518,-2.7094867,-8.790026
236671,0.6485164,0.819632,-6.100622
237452,-4.1976824,-0.673884,-8.179895
284985,0.9588823,-4.7763715,2.7633746
293114,-4.206497,1.9466605,8.339367
44488,0.774754,0.87668973,-2.536361
48915,0.41327652,-0.30873463,-2.22231
63307,0.22657673,-0.4442824,1.0107445
195084,-1.8545614,-0.57604903,-3.1359377
195887,-4.846507,0.37316716,-1.3166214
271261,-1.7780659,-1.3528465,-7.7623158
336499,0.9203297,-3.2926855,4.3996243
36399,-0.5435468,-3.3457036,-2.6688213
42612,3.799169,-1.0718129,2.9574354
50405,2.7900612,-6.5314302,0.5298971
50494,-0.030321646,-6.345852,1.8246523
50864,-0.8866982,-4.7450614,-0.6301569
57442,-0.43097478,-2.0939739,-5.720957
57748,2.3187656,-5.6263914,0.24081825
59929,7.970964,-5.491142,0.47586364
60253,5.795866,-2.4549289,-1.5672528
61698,9.158475,0.4224093,2.370314
61741,10.893832,0.5077366,0.5195286
62631,-1.4040557,4.226949,2.6443276
65839,1.4350622,-4.5339785,3.4694386
69353,2.918651,-1.5884409,2.1839037
69433,-0.41937816,-4.3103194,2.9593391
72631,6.260479,-4.214559,1.9385167
73506,2.736009,-3.9506335,-0.6323771
124228,-3.7923868,3.0018654,-5.8310127
149622,6.529864,-4.2585735,-0.01190157
156279,0.42176816,-6.678876,-1.1385161
156543,-0.6691493,-6.8292465,-1.5699526
156619,1.6908829,-6.887073,1.1336389
156672,4.2469063,-6.18202,-0.19062561
157083,-2.5037897,-4.039047,-2.0922108
157815,2.8516555,-8.69271,0.73843634
158082,-0.31103766,-6.4913483,2.1121454
158642,-0.6657853,-4.333751,-1.031079
158646,1.6884884,-3.9240546,0.039071944
158794,2.3801985,-8.627454,-2.3768246
159177,-0.2344933,-2.845024,-1.2148019
159190,4.57364,-3.4280872,-0.6216738
159200,0.12109259,-4.465345,-1.4810122
160974,1.1699228,-7.787122,0.627337
161526,3.5322535,-4.343785,0.4024969
161801,4.7628303,-8.818735,-0.42728123
161872,3.5057762,-4.4311404,-2.5534363
162655,-0.34589887,-4.8633084,3.0181675
162663,3.6840625,-9.4147,-0.13122213
168868,2.939719,-0.4715869,-2.8769073
169169,-2.5172493,1.4342382,1.2034504
202416,2.888845,-1.9952136,-4.912737
202632,6.826659,-4.1936307,-1.4603143
202763,-0.13290502,-4.255557,-0.3750483
205845,-0.78931427,-5.344627,-5.282029
207122,1.372072,-3.7435372,-0.2557914
225010,-2.7865689,0.17594416,-1.1221564
233717,-1.7561835,-2.502231,-4.139041
237257,-3.8783975,-2.7019448,-6.738586
237356,-1.933722,-1.6694993,-5.986238
271551,0.48608375,-5.3993034,-5.136494
272218,-1.022,-5.0661726,-6.215167
277107,-0.8668412,3.6447594,7.1521993
277492,3.146548,2.4661582,9.2171955
277720,2.2849758,-0.6521756,5.9723635
282785,0.7182958,-7.195932,-1.5478543
282917,-2.876078,0.111240655,2.2531333
283009,2.4204745,-4.863647,-2.2244828
283627,2.33277,-3.626896,1.5676794
283776,-1.9352676,1.3993245,2.093596
283933,-2.3521116,-0.22907126,0.9104163
284090,0.026949681,-3.2438095,-1.2558852
284602,-2.2449708,-0.6438692,5.7198405
284622,-1.768029,-1.0291187,-0.53112745
284664,-2.8530276,-0.10854164,4.797449
284901,-1.476292,-3.3894558,3.8617022
285675,-4.258903,-2.933896,1.5636837
285877,-3.5337722,0.6740262,4.007562
286022,2.290223,-2.9461396,5.6322794
286310,0.008801399,-0.9975537,-1.3265687
286350,0.76234347,-0.7660322,2.3781233
286413,2.1357813,-0.5033256,6.3521523
286420,1.8721496,-3.0967333,2.1496005
