article_id,x,y
68866,0.143305,-7.0297823
87205,8.457438,-2.2422032
87224,11.291973,-6.31785
96755,0.34563988,-0.40403295
157541,-0.9358077,-10.1637
160158,4.1546116,-6.459326
233470,-5.003721,-3.2490418
313996,-3.4435155,0.860728
36162,1.4510819,-6.282001
59758,0.06880981,-4.358696
96663,6.9826865,2.1287253
156723,3.2029583,-4.084297
160474,-0.026781088,-4.822106
183176,-6.0133996,0.3136181
205973,-1.116927,-5.809613
234481,-2.951035,-2.221378
235840,3.6356134,-3.6930654
283392,-1.3861289,-2.2591498
285719,0.9335507,-6.0408716
327984,-3.9370282,-1.412961
30760,-1.040893,5.757127
30970,-2.67599,4.3914104
119592,-2.9703856,2.0747116
209122,-0.029880239,-5.8857813
120967,-5.944851,5.917943
161178,-2.531541,-5.387529
233688,-3.2043805,-3.4594164
233769,-3.8894465,-4.675174
234318,-0.9988673,-1.5825037
234686,-0.57926923,-4.4799194
235132,0.56642294,-2.4699752
235665,2.0986173,-5.119673
235689,-1.7528173,-1.9081746
235745,-2.1461654,-4.701943
236065,-0.45573935,-2.0275838
236294,-1.9098487,-1.7792276
236444,-1.6761578,-2.710284
236671,0.64847416,0.8188573
237452,-4.1976976,-0.67498237
284985,0.95883125,-4.776446
293114,-4.206534,1.9471949
44488,0.7747227,0.8771833
48915,0.41324142,-0.3079324
63307,0.22648433,-0.4446652
195084,-1.8545486,-0.5753209
195887,-4.846522,0.3735367
271261,-1.7780694,-1.350931
336499,0.9203629,-3.2922332
36399,-0.54353225,-3.3461626
42612,3.7990968,-1.0723711
50405,2.7900822,-6.530523
50494,-0.030318929,-6.3448296
50864,-0.88664764,-4.7437515
57442,-0.43099818,-2.094151
57748,2.3187926,-5.625779
59929,7.971006,-5.4910927
60253,5.795908,-2.454158
61698,9.158423,0.4217923
61741,10.893772,0.5067744
62631,-1.4040158,4.2266026
65839,1.4350535,-4.53435
69353,2.9186728,-1.589118
69433,-0.41938418,-4.3104253
72631,6.260488,-4.214802
73506,2.7359648,-3.9512343
124228,-3.792356,3.0017884
149622,6.529848,-4.2585
156279,0.42180535,-6.6786046
156543,-0.669151,-6.8285165
156619,1.6908838,-6.886825
156672,4.2468653,-6.182662
157083,-2.5038078,-4.039204
157815,2.8516452,-8.692785
158082,-0.3110574,-6.4907126
158642,-0.6658179,-4.332765
158646,1.688479,-3.9247916
158794,2.3802176,-8.626568
159177,-0.23447901,-2.8447185
159190,4.5736666,-3.428767
159200,0.121061526,-4.4661465
160974,1.1699058,-7.786644
161526,3.532247,-4.3449244
161801,4.7628083,-8.819253
161872,3.5057652,-4.4311366
162655,-0.34589514,-4.8627477
162663,3.6840627,-9.415069
168868,2.9397728,-0.47067344
169169,-2.5172496,1.4344634
202416,2.8888352,-1.9954176
202632,6.826664,-4.1937776
202763,-0.13291137,-4.2566547
205845,-0.7893045,-5.34458
207122,1.372083,-3.7435503
225010,-2.7866595,0.1759534
233717,-1.7562114,-2.5022178
237257,-3.8783877,-2.7017853
237356,-1.9337114,-1.6697885
271551,0.48602906,-5.3970733
272218,-1.0220295,-5.0644364
277107,-0.866878,3.6452072
277492,3.146552,2.4668882
277720,2.2849033,-0.6523371
282785,0.7182451,-7.1963634
282917,-2.8761065,0.11078129
283009,2.4204435,-4.8640056
283627,2.332693,-3.6274788
283776,-1.9352919,1.3990352
283933,-2.3520792,-0.22894725
284090,0.026925849,-3.2443256
284602,-2.2450297,-0.64483523
284622,-1.7680155,-1.0290954
284664,-2.8530614,-0.108277425
284901,-1.4762778,-3.3890183
285675,-4.258906,-2.9343321
285877,-3.5337763,0.67441684
286022,2.2901793,-2.9462812
286310,0.008811935,-0.99694836
286350,0.7623074,-0.7664192
286413,2.1357305,-0.5031953
286420,1.8720801,-3.096909
292390,-1.5082979,0.89222294
348081,-2.304354,-1.4217364
348089,-1.7261858,-0.27084562
348091,3.0763705,-2.463627
348109,14.653882,5.7726693
348113,1.2982671,-1.0601894
348117,0.74677885,1.0864084
348121,4.4310045,2.087778
348127,0.39746127,-0.9023094
348128,-1.8749814,2.7536006
348132,-1.9324621,0.57770234
348135,3.9212465,-2.320433
59704,-1.1001617,-3.0557628
64329,1.4414582,-8.294193
70033,-0.3543548,-6.2430162
70594,5.2015676,-3.5679686
70646,1.0667317,-6.6914215
123909,-3.5015965,4.680197
156560,3.8853097,-9.736452
157078,-0.7729648,-7.7044716
162300,3.9582753,-7.234209
166283,4.207439,-6.9587936
168623,-2.4415736,-1.9554131
202355,3.4305794,-5.358864
202436,1.4005826,-4.074037
202476,6.634491,-2.3842463
202478,6.1694317,-7.2391763
203288,1.7893454,-6.1925945
206168,-0.038215958,-5.849463
206934,-0.03874464,-3.0376768
209236,-0.5562725,-7.2378116
234006,-4.613197,0.9356008
235230,-1.1072553,-6.4927535
235616,-2.4473596,-2.872671
236951,1.125263,-3.721434
250043,-1.3989393,-0.68029255
283505,1.287676,-4.348194
285343,1.5553181,-7.962979
288431,-1.6179769,3.0971553
289090,-0.8619215,1.5015731
313431,-4.7414956,3.3146894
336476,-0.18425956,-2.9464526
39894,0.5552361,-2.6749573
64409,-0.30730307,-6.452856
87223,7.656284,-5.473368
123757,-3.2084703,0.08398507
156624,1.9686525,-5.3496466
166177,3.7634194,-8.083379
199474,-1.6135617,-0.96128076
214753,4.2083154,-4.9151096
234698,-0.12238832,-5.3903313
284470,-1.9253043,-1.8709403
284547,-2.2931604,-5.7823343
284847,-2.773069,-2.2619705
336221,0.88405716,-1.7006929
343256,-2.6786368,5.004377
352979,-0.34244564,1.3662258
10034,-3.460694,6.5278544
10370,-1.6462965,7.2451305
20691,-7.0378823,2.0649319
31520,-3.373836,9.279206
48403,-6.3488035,-0.037875548
83534,9.531401,1.7128454
95716,-2.5573382,6.597267
95972,-2.606357,4.60704
96141,0.0230715,1.2891281
112263,-6.4020605,3.5365443
112271,-4.6655293,-2.9225833
112273,-4.792617,3.7404807
112575,-5.3707867,-2.4979796
114161,1.2325505,0.6172347
119193,-1.7101663,2.0365524
124177,-2.3539639,0.43924874
128260,-0.97295773,2.5310953
129165,-0.9217108,0.018100416
129591,-2.4486907,4.842979
172576,-5.741689,0.29966816
190999,1.9889997,-0.46946427
198199,-3.7515416,-0.12426223
199198,-7.871649,3.9440596
199844,-5.2190547,2.5254755
209653,4.048035,-6.1855636
215861,-3.706305,2.5869548
232753,-3.9802384,-5.8222265
235854,0.01984424,-4.7458153
235870,4.9682984,-2.9189336
236613,-2.243598,-3.0073447
272143,-0.36761022,-1.0899897
272660,-4.5138955,0.9027079
273464,-2.3974292,0.7988969
283041,-1.5173498,-1.0043676
283327,-4.170922,-4.650612
284410,0.66813225,-6.3239737
286321,1.6123394,-6.613157
288440,-5.947224,3.9052367
303331,-0.567132,2.754617
313504,-3.4936488,-0.54742616
331116,1.3280876,-0.51704746
332114,-5.7604537,1.7019609
336245,3.3727918,-2.0808113
337082,-1.6052359,0.8903972
337192,-1.5761155,1.1787164
354086,-5.345511,2.1577
363173,-1.8836101,2.4938586
363269,-0.71980774,0.17784794
284346,-4.283963,-2.518585
285412,-2.9669113,-1.8508087
293513,-6.4595413,6.4016576
337143,-1.2384353,-1.753281
5341,9.05915,1.7505616
7744,-5.2302957,1.554381
36400,2.517109,-4.305557
49012,-4.2558546,1.4039612
58556,4.4991307,-2.1041644
65991,3.9511087,-6.8947215
68924,1.3918341,-6.481963
70429,-2.611827,-2.4324334
70484,2.5304651,-9.044782
84136,1.8514503,0.09502577
97433,0.22354414,7.537376
100931,8.908782,-0.31900528
123289,-2.9024718,-0.03634664
133287,-4.5629916,1.2895032
141327,-4.205605,2.8109102
141894,5.547257,-0.78601384
142116,7.421806,1.9115098
193449,-0.33982277,-1.8692958
195689,0.50544757,-3.5339954
196588,-2.4157572,-3.4132822
198321,-1.7882551,-2.420785
198322,-4.25901,2.5542817
198420,-6.1782403,0.57894975
198807,-6.283941,2.3303783
199207,-3.6268375,-0.8609551
199227,-4.3500566,0.010289057
199291,-1.8772852,-2.0020425
202587,4.6701684,-4.2959676
206027,1.856437,-7.3048077
206120,-1.2678851,-5.9484296
206402,-0.9484517,-6.36742
207731,2.9166176,-4.6398396
208145,-1.7182429,-4.177921
208500,0.24242744,-8.807612
234493,2.0464637,-6.2053976
235440,0.4320263,-6.0553627
235804,-4.259232,-1.2836909
236541,1.2567248,-3.529711
257291,-3.902724,2.4170032
284191,-0.941289,-1.0565375
286108,-5.7978034,-1.3580102
300470,-6.909536,1.7436872
314848,-3.433111,1.3519346
315105,6.5113544,2.1437547
327124,-5.7027426,5.6939692
327210,-5.9411583,4.415299
336223,2.8578594,-2.0097847
336381,-2.0916302,1.5244104
337241,0.13758723,0.6894131
337438,-0.43471298,1.4709762
70397,0.33382046,-8.766291
96877,3.1031458,4.4889193
107218,2.755155,-7.285349
114796,-0.5771119,1.8088791
124176,-5.657146,3.2447972
124748,-4.635855,0.6041141
177155,-4.9345527,4.801799
195177,-3.7672184,2.2831962
202289,3.9501088,-5.6228642
202322,1.6790177,-3.8822076
202330,4.8525586,-5.9181147
202370,2.6631634,-7.393203
202388,0.9112096,-4.710039
202442,0.8837687,-6.240561
202528,6.860069,-4.203208
202534,19.208754,4.4083967
202672,4.4736524,-3.516203
203241,0.12114857,-6.553737
205824,0.91368014,-4.4061866
205948,6.1867566,-6.106963
206315,2.1248412,-6.8630705
206711,3.4543517,-6.8131304
206730,-0.3743653,-4.8841953
206735,0.1961697,-5.704022
207714,0.58799773,0.65742517
207982,0.21688634,-6.3294034
208057,1.8888196,-3.354395
208360,-1.7362465,-5.146361
208582,1.7350872,-7.0783677
216102,-1.5559167,2.096344
216366,-3.3568943,4.0450125
220466,-3.3394065,2.8442132
221324,4.0879183,-2.8621712
224730,2.0369852,-0.88056874
234267,1.3312613,-6.508134
237822,-4.539319,-1.6915603
261612,-1.4979423,2.0009737
276970,-1.0384886,1.2601904
283192,2.4743176,-2.5791116
